FacilityID,Bays,Floodlit,Holes,Length
"2100581","","","18","5220.31"
"2100582","19","0","","274.32"
"2100583","","","9","2208.28"
"2100584","","","18","5845.76"
"2100585","","","18","5121.55"
"2100586","","","9","4023.36"
"2100588","","","18","5304.43"
"2100589","","","18","5967.37"
"2100590","","","9","2407.62"
"2100591","","","18","5919.83"
"2100592","","","18","6130.14"
"2100593","","","18","5765.29"
"2100594","","","18","5458.05"
"2100597","","","18","5952.74"
"2100598","26","1","","251.46"
"2100599","","","18","5848.5"
"2100600","","","18","5847.59"
"2100601","","","18","5237.68"
"2100602","","","18","5267.86"
"2100604","","","18","6129.22"
"2100607","","","9","2889.5"
"2100608","","","18","6072.53"
"2100609","","","18","5936.28"
"2100610","","","18","6001.21"
"2100611","","","9","2694.74"
"2100612","","","18","5595.21"
"2100613","","","18","1506.02"
"2100614","","","18","6354.17"
"2100616","","","18","5257.8"
"2100617","","","18","5544.92"
"2100618","","","18","5808.27"
"2100619","","","18","5824.73"
"2100621","","","9","2862.07"
"2100622","","","9","2878.53"
"2100623","","","18","5852.16"
"2100624","","","18","5160.87"
"2100625","","","18","5685.74"
"2100626","","","18","2232.96"
"2100627","","","18","5582.41"
"2100628","","","18","5288.89"
"2100629","","","9","2447.85"
"2100630","","","18","4846.32"
"2100631","24","1","","228.6"
"2100632","","","18","6075.27"
"2100634","","","18","5373.93"
"2100635","","","18","6016.75"
"2100636","","","18","5450.74"
"2100637","10","1","","228.6"
"2100638","","","18","6400.8"
"2100642","","","9","2825.5"
"2100643","","","9","2859.33"
"2100644","","","18","5887.82"
"2100647","","","18","5728.72"
"2100648","","","9","1920.24"
"2100649","","","18","5671.11"
"2100650","","","18","5590.64"
"2100652","26","1","","274.32"
"2100653","","","18","6103.62"
"2100655","","","9","1897.38"
"2100656","","","18","5844.84"
"2100657","","","18","6037.78"
"2100658","","","9","1641.35"
"2100661","","","18","5873.19"
"2100662","","","18","5843.93"
"2100663","","","9","2084.83"
"2100665","","","18","4463.19"
"2100666","","","9","1849.83"
"2100667","","","18","5806.44"
"2100668","","","18","5771.69"
"2100669","","","18","5558.64"
"2100671","","","18","5759.81"
"2100672","","","9","3225.09"
"2100673","","","18","5532.12"
"2100674","","","9","871.42"
"2100675","","","9","2766.97"
"2100676","","","18","5502.86"
"2100677","","","18","6148.43"
"2100678","","","9","708.66"
"2100679","","","18","6583.68"
"2100680","","","18","5868.62"
"2100681","","","18","5676.6"
"2100682","","","18","6032.3"
"2100683","","","18","5125.21"
"2100685","","","18","5757.98"
"2100687","","","9","997"
"2100688","","","18","5558.64"
"2100690","","","9","2333.55"
"2100691","","","18","5942.69"
"2100692","24","1","","256.03"
"2100693","","","18","5133.44"
"2100694","","","18","5750.66"
"2100695","","","9","691.29"
"2100696","","","9","3177.54"
"2100697","","","18","5760.72"
"2100699","","","18","5945.43"
"2100700","","","18","5945.43"
"2100701","","","9","868.68"
"2100702","","","18","5698.54"
"2100703","","","18","5749.75"
"2100705","","","18","5880.51"
"2100707","","","18","5537.61"
"2100708","","","18","6237.12"
"2100710","","","9","2452.42"
"2100711","","","18","1828.8"
"2100712","","","18","6025.9"
"2100713","","","18","5853.07"
"2100716","30","1","","274.32"
"2100718","","","18","4740.25"
"2100719","","","18","5276.09"
"2100720","","","18","5254.14"
"2100721","","","18","5697.63"
"2100722","","","9","2059.23"
"2100723","","","18","5212.08"
"2100724","","","18","5677.51"
"2100725","","","18","5914.34"
"2100726","22","1","","256.03"
"2100727","","","9","2366.47"
"2100729","","","18","5969.2"
"2100730","","","9","2914.19"
"2100731","","","18","5029.2"
"2100732","","","18","6067.04"
"2100733","","","18","5965.55"
"2100735","","","9","2430.48"
"2100736","","","18","4962.45"
"2100738","","","18","5784.49"
"2100739","","","18","5951.83"
"2100740","","","18","6090.82"
"2100741","","","9","2407.62"
"2100744","","","18","6217.92"
"2100745","","","18","5723.23"
"2100746","","","18","5694.88"
"2100747","","","18","5955.49"
"2100749","","","18","5724.14"
"2100750","","","18","5458.05"
"2100751","","","18","5726.89"
"2100752","","","18","5857.65"
"2100753","","","18","5830.21"
"2100756","","","9","3037.64"
"2100757","","","18","5322.72"
"2100758","32","1","","274.32"
"2100762","","","18","5902.45"
"2100763","","","18","5997.55"
